scenario,initial_capacity,time,capacity,substitute_share
self-correcting,0.15,71.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,72.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,73.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,74.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,75.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,76.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,77.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,78.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,79.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,80.0,0.8393914975714976,0.07640985232788475
